"experiment","acte","scene","version","chunk","verse_id","char","text","selected"
"mml06","1","1","original","2","17","SGANARELLE","C'est vivre de ménage.","0"
"mml06","1","1","modern","2","18","MARTINE","Tu as même pris mon lit...","0"
"mml06","1","1","original","2","18","MARTINE","Qui m'a ôté jusqu'au lit que j'avois...","0"
"mml06","1","1","modern","2","19","SGANARELLE","Tu te lèveras plus tard.","0"
"mml06","1","1","original","2","19","SGANARELLE","Tu t'en lèveras plus matin.","0"
"mml06","1","1","modern","2","20","MARTINE","Et tu as vendu tous les meubles de la maison...","0"
"mml06","1","1","original","2","20","MARTINE","Enfin, qui ne laisse aucun meuble dans toute la maison...","0"
"mml06","1","1","modern","3","21","SGANARELLE","C'est plus facile pour déménager.","0"
"mml06","1","1","original","3","21","SGANARELLE","On en déménage plus aisément.","0"
"mml06","1","1","modern","3","22","MARTINE","Et qui passe son temps à jouer et boire...","0"
"mml06","1","1","original","3","22","MARTINE","Et qui, du matin jusqu'au soir, ne fait que jouer et que boire.","0"
"mml06","1","1","modern","3","23","SGANARELLE","Pour ne pas m'ennuyer.","0"
"mml06","1","1","original","3","23","SGANARELLE","C'est pour ne me point ennuyer.","0"
"mml06","1","1","modern","3","24","MARTINE","Et que dois-je faire avec ma famille pendant ce temps?","0"
"mml06","1","1","original","3","24","MARTINE","Et que veux-tu, pendant ce temps, que je fasse avec ma famille?","0"
"mml06","1","1","modern","3","25","SGANARELLE","Tout ce que tu veux.","0"
"mml06","1","1","original","3","25","SGANARELLE","Tout ce qu'il te plaira.","0"
"mml06","1","1","modern","4","26","MARTINE","J'ai quatre petits enfants qui ont faim tout le temps.","0"
"mml06","1","1","original","4","26","MARTINE","J'ai quatre pauvres petits enfants sur les bras.","0"
"mml06","1","1","modern","4","27","SGANARELLE","Donne-leur une fessée. Quand j'ai bien mangé et bu, je veux que tout le monde soit heureux dans ma maison.","0"
"mml06","1","1","original","4","27","SGANARELLE","Mets-les à terre.","0"
"mml06","1","1","modern","4","28","MARTINE","Tu penses vraiment que les choses peuvent continuer comme ça, ivrogne?...","0"
"mml06","1","1","original","4","28","MARTINE","Qui me demandent à toute heure du pain.","0"
"mml06","1","1","modern","5","29","SGANARELLE","Donne-leur une fessée. Quand j'ai bien mangé et bu, je veux que tout le monde soit ivre dans ma maison.","0"
"mml06","1","1","original","4","29","SGANARELLE","Donne-leur le fouet. Quand j'ai bien bu et bien mangé, je veux que tout le monde soit saoul dans ma maison.","0"
"mml06","1","1","modern","5","30","MARTINE","Tu penses vraiment que les choses peuvent continuer comme ça, toi l'ivrogne?","0"
"mml06","1","1","original","4","30","MARTINE","Et tu prétends, ivrogne, que les choses aillent toujours de même?...","0"
"mml06","1","1","modern","5","31","SGANARELLE","Ma chère femme, calme-toi s'il te plaît.","0"
"mml06","1","1","original","5","31","SGANARELLE","Ma femme, allons tout doucement, s'il vous plaît.","0"
"mml06","1","1","modern","5","32","MARTINE","Je dois supporter tes insultes et tes excès pour toujours?","0"
"mml06","1","1","original","5","32","MARTINE","Que j'endure éternellement tes insolences et tes débauches?...","0"
"mml06","1","1","modern","5","33","SGANARELLE","Ne t'emporte pas, ma femme.","0"
"mml06","1","1","original","5","33","SGANARELLE","Ne nous emportons point, ma femme.","0"
"mml06","1","1","modern","5","34","MARTINE","Et je ne peux pas trouver un moyen de te faire agir correctement?","0"
"mml06","1","1","original","5","34","MARTINE","Et que je ne sache pas trouver le moyen de te ranger à ton devoir?","0"
"mml06","1","1","modern","5","35","SGANARELLE","Ma femme, tu sais que je ne suis pas patient et que je suis assez fort.","0"
"mml06","1","1","original","5","35","SGANARELLE","Ma femme, vous savez que je n'ai pas l'âme endurante, et que j'ai le bras assez bon.","0"
"mml06","1","1","modern","6","36","MARTINE","Je me moque de tes menaces.","0"
"mml06","1","1","original","6","36","MARTINE","Je me moque de tes menaces.","0"
"mml06","1","1","modern","6","37","SGANARELLE","Mon amour, ta peau te démange, comme d'habitude.","0"
"mml06","1","1","original","6","37","SGANARELLE","Ma petite femme, ma mie, votre peau vous démange, à votre ordinaire.","0"
"mml06","1","1","modern","6","38","MARTINE","Je vais te montrer que je ne te crains pas du tout.","0"
"mml06","1","1","original","6","38","MARTINE","Je te montrerai bien que je ne te crains nullement.","0"
"mml06","1","1","modern","6","39","SGANARELLE","Ma chère moitié, tu veux me voler quelque chose.","0"
"mml06","1","1","original","6","39","SGANARELLE","Ma chère moitié, vous avez envie de me dérober quelque chose.","0"
"mml06","1","1","modern","6","40","MARTINE","Tu penses que je vais avoir peur de tes paroles ?","0"
"mml06","1","1","original","6","40","MARTINE","Crois-tu que je m'épouvante de tes paroles?","0"
"mml06","1","1","modern","7","41","SGANARELLE","Mon cher objet de désir, je vais te frotter les oreilles.","0"
"mml06","1","1","original","7","41","SGANARELLE","Doux objet de mes voeux, je vous frotterai les oreilles.","0"
"mml06","1","1","modern","7","42","MARTINE","Tu es un ivrogne!","0"
"mml06","1","1","original","7","42","MARTINE","Ivrogne que tu es!","0"
"mml06","1","1","modern","7","43","SGANARELLE","Je vais te frapper.","0"
"mml06","1","1","original","7","43","SGANARELLE","Je vous battrai.","0"
"mml06","1","1","modern","7","44","MARTINE","Tu es un sac à vin!","0"
"mml06","1","1","original","7","44","MARTINE","Sac à vin!","0"
"mml06","1","1","modern","7","45","SGANARELLE","Je vais te donner une correction.","0"
"mml06","1","1","original","7","45","SGANARELLE","Je vous rosserai.","0"
"mml06","1","1","modern","8","46","MARTINE","Tu es un misérable!","0"
"mml06","1","1","original","8","46","MARTINE","Infime!","0"
"mml06","1","1","modern","8","47","SGANARELLE","Je vais te punir.","0"
"mml06","1","1","original","8","47","SGANARELLE","Je vous étrillerai.","0"
"mml06","1","1","modern","8","48","MARTINE","Traître, insolent, menteur, lâche, escroc, vaurien, malhonnête, filou, brigand, voleur!...","0"
"mml06","1","1","original","8","48","MARTINE","Traître, insolent, trompeur, lâche, coquin, pendard, gueux, bélître, fripon, maraut, voleur!...","0"
"mml06","1","1","modern","8","49","SGANARELLE","(Il prend un bâton et le lui donne.) Tu veux te battre?","0"
"mml06","1","1","original","8","49","SGANARELLE","(Il prend un bâton, et lui en donne.) Ah! vous en voulez donc?","0"
"mml06","1","1","modern","8","50","MARTINE","Ah! ah! ah! ah!","0"
"mml06","1","1","original","8","50","MARTINE","Ah! ah! ah! ah!","0"
"mml07","1","1","modern","4","51","SGANARELLE","Voilà le vrai moyen de te calmer.","0"
"mml07","1","1","original","4","51","SGANARELLE","Voilà le vrai moyen de vous apaiser.","0"
